Description	Price	Prime Product	URL	Stars	Reviews
Acer Aspire 3 A315-24P-R8DK PC Portatile, Notebook, Processore AMD Ryzen 5 7520U, RAM 8 GB DDR5, 512 GB PCIe NVMe SSD, Display 15.6 FHD LED, Scheda Grafica AMD Radeon, Windows 11 Home, Silver	469.0	True	https://www.amazon.it/sspa/click?ie=UTF8&spc=MToxMDI1NDkzMzYyMDUwOTQ1OjE3MzA3NDU2MTA6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDAyNTc4NTg2OTUzMjo6MDo6&url=%2FAcer-A315-24P-R8DK-Portatile-Notebook-Processore%2Fdp%2FB0BS6VX78Q%2Fref%3Dsxin_15_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.d08130f4-1c3e-4047-a277-0c03d5740fa8%253Aamzn1.sym.d08130f4-1c3e-4047-a277-0c03d5740fa8%26cv_ct_cx%3Dcomputer%26dib%3DeyJ2IjoiMSJ9.RvFbGIBvXD5stX7wNyihnXSgosk7VoCymu1j_6PyfEs5V2C60pssNWlWkiGHZPcneGtfhNTMUodUdYPPylPOzA.TqrwOz2lCn_SarCj2YbEwM_WPrfoP21mpZlMhKFH0IA%26dib_tag%3Dse%26keywords%3Dcomputer%26pd_rd_i%3DB0BS6VX78Q%26pd_rd_r%3Df94b21c0-4dfe-48b4-a9ed-47f8c42eb616%26pd_rd_w%3DN3dhD%26pd_rd_wg%3DvSxJ0%26pf_rd_p%3Dd08130f4-1c3e-4047-a277-0c03d5740fa8%26pf_rd_r%3D4HH1MAAB3TD66AARVTYH%26qid%3D1730745610%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-433-b1149505-6a8e-43e6-ad16-2b4f2671e365-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1	0.0	592
AOCWEI PC Portatile 14 Pollici Celeron N4020, Win 11 Notebook con 5G WiFi 6GB+256GB SSD Expansion 1TB, BT4.2 Supporto Mouse Wireless & Protezione Tastiera - Oro	229.0	True	https://www.amazon.it/sspa/click?ie=UTF8&spc=MToxMDI1NDkzMzYyMDUwOTQ1OjE3MzA3NDU2MTA6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDE4NDQ4OTMzMDYzMjo6MTo6&url=%2FAOCWEI-Portatile-lespansione-Bluetooth-protezione%2Fdp%2FB0BHYZV44D%2Fref%3Dsxin_15_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.d08130f4-1c3e-4047-a277-0c03d5740fa8%253Aamzn1.sym.d08130f4-1c3e-4047-a277-0c03d5740fa8%26cv_ct_cx%3Dcomputer%26dib%3DeyJ2IjoiMSJ9.RvFbGIBvXD5stX7wNyihnXSgosk7VoCymu1j_6PyfEs5V2C60pssNWlWkiGHZPcneGtfhNTMUodUdYPPylPOzA.TqrwOz2lCn_SarCj2YbEwM_WPrfoP21mpZlMhKFH0IA%26dib_tag%3Dse%26keywords%3Dcomputer%26pd_rd_i%3DB0BHYZV44D%26pd_rd_r%3Df94b21c0-4dfe-48b4-a9ed-47f8c42eb616%26pd_rd_w%3DN3dhD%26pd_rd_wg%3DvSxJ0%26pf_rd_p%3Dd08130f4-1c3e-4047-a277-0c03d5740fa8%26pf_rd_r%3D4HH1MAAB3TD66AARVTYH%26qid%3D1730745610%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-434-b1149505-6a8e-43e6-ad16-2b4f2671e365-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1	0.0	360
HP Notebook 250 G9, Pc portatile Grey, Intel Core i5 12Th Gen 4,4Ghz, Ram 24Gb, SSD 1256Gb, Display 15.6 Full HD, Win 11 Pro,Pacchetto Office Pro 2021, computer pronto utilizzo	638.0	False	https://www.amazon.it/sspa/click?ie=UTF8&spc=MToxMDI1NDkzMzYyMDUwOTQ1OjE3MzA3NDU2MTA6c3Bfc2VhcmNoX3RoZW1hdGljOjIwMTYxNDUxMjY2Njk4OjoyOjo&url=%2FHP-Portatile-Masterizzatore-Bluetooth-professional%2Fdp%2FB07TCTYR4X%2Fref%3Dsxin_15_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.d08130f4-1c3e-4047-a277-0c03d5740fa8%253Aamzn1.sym.d08130f4-1c3e-4047-a277-0c03d5740fa8%26cv_ct_cx%3Dcomputer%26dib%3DeyJ2IjoiMSJ9.RvFbGIBvXD5stX7wNyihnXSgosk7VoCymu1j_6PyfEs5V2C60pssNWlWkiGHZPcneGtfhNTMUodUdYPPylPOzA.TqrwOz2lCn_SarCj2YbEwM_WPrfoP21mpZlMhKFH0IA%26dib_tag%3Dse%26keywords%3Dcomputer%26pd_rd_i%3DB07TCTYR4X%26pd_rd_r%3Df94b21c0-4dfe-48b4-a9ed-47f8c42eb616%26pd_rd_w%3DN3dhD%26pd_rd_wg%3DvSxJ0%26pf_rd_p%3Dd08130f4-1c3e-4047-a277-0c03d5740fa8%26pf_rd_r%3D4HH1MAAB3TD66AARVTYH%26qid%3D1730745610%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-435-b1149505-6a8e-43e6-ad16-2b4f2671e365-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1	0.0	115
HP Notebook 250 G9, Pc portatile Silver, Intel Core i5 12Th Gen 4,4Ghz, Ram 16Gb, SSD M2 1Tb, Display 15.6 Full HD, Win 11 Pro, Office Pro 2021,Tastiera Retroilluminata Fingerprint, 8D4R1ES#16/1000	749.0	True	https://www.amazon.it/sspa/click?ie=UTF8&spc=MToxMDI1NDkzMzYyMDUwOTQ1OjE3MzA3NDU2MTA6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDA1NDkwMDM2NjgzMjo6Mzo6&url=%2FHP-portatile-Retroilluminata-Fingerprint-8D4R1ES%2Fdp%2FB0CHPY4FZS%2Fref%3Dsxin_15_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.d08130f4-1c3e-4047-a277-0c03d5740fa8%253Aamzn1.sym.d08130f4-1c3e-4047-a277-0c03d5740fa8%26cv_ct_cx%3Dcomputer%26dib%3DeyJ2IjoiMSJ9.RvFbGIBvXD5stX7wNyihnXSgosk7VoCymu1j_6PyfEs5V2C60pssNWlWkiGHZPcneGtfhNTMUodUdYPPylPOzA.TqrwOz2lCn_SarCj2YbEwM_WPrfoP21mpZlMhKFH0IA%26dib_tag%3Dse%26keywords%3Dcomputer%26pd_rd_i%3DB0CHPY4FZS%26pd_rd_r%3Df94b21c0-4dfe-48b4-a9ed-47f8c42eb616%26pd_rd_w%3DN3dhD%26pd_rd_wg%3DvSxJ0%26pf_rd_p%3Dd08130f4-1c3e-4047-a277-0c03d5740fa8%26pf_rd_r%3D4HH1MAAB3TD66AARVTYH%26qid%3D1730745610%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-436-b1149505-6a8e-43e6-ad16-2b4f2671e365-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1	0.0	200
Lenovo Computer portatile V15, display FHD da 15,6, processore AMD Ryzen 5 5500U Hexa-core, 16 GB di RAM, SSD da 1 TB, HDMI, RJ45, tastiera numerica, Wi-Fi, Windows 11 Pro,	549.0	False	https://www.amazon.it/sspa/click?ie=UTF8&spc=MToxMDI1NDkzMzYyMDUwOTQ1OjE3MzA3NDU2MTA6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDI3Mjg5MDAwNjIzMjo6NDo6&url=%2FLenovo-portatile-V15-processore-Hexa-core%2Fdp%2FB0CK9FQXWR%2Fref%3Dsxin_15_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.d08130f4-1c3e-4047-a277-0c03d5740fa8%253Aamzn1.sym.d08130f4-1c3e-4047-a277-0c03d5740fa8%26cv_ct_cx%3Dcomputer%26dib%3DeyJ2IjoiMSJ9.RvFbGIBvXD5stX7wNyihnXSgosk7VoCymu1j_6PyfEs5V2C60pssNWlWkiGHZPcneGtfhNTMUodUdYPPylPOzA.TqrwOz2lCn_SarCj2YbEwM_WPrfoP21mpZlMhKFH0IA%26dib_tag%3Dse%26keywords%3Dcomputer%26pd_rd_i%3DB0CK9FQXWR%26pd_rd_r%3Df94b21c0-4dfe-48b4-a9ed-47f8c42eb616%26pd_rd_w%3DN3dhD%26pd_rd_wg%3DvSxJ0%26pf_rd_p%3Dd08130f4-1c3e-4047-a277-0c03d5740fa8%26pf_rd_r%3D4HH1MAAB3TD66AARVTYH%26qid%3D1730745610%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-437-b1149505-6a8e-43e6-ad16-2b4f2671e365-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1	0.0	425
GREED® Intel Core i7 4790 Ultra PC fisso - Desktop molto veloce per ufficio e casa - Computer con 4.0 GHz - 32GB RAM - Disco da 1TB SSD + 1TB HDD - DVD+RW - USB3.0 - WLAN - incl. Windows 11 Pro	579.0	False	https://www.amazon.it/sspa/click?ie=UTF8&spc=MTo2MTMxMjQ2NjYyNDU2NTQ5OjE3MzA3NDU2MTA6c3BfYnRmOjIwMTMyNjA2ODIxMDk4OjowOjo&url=%2FGREED%25C2%25AE-Ultra-fisso-Intel-Core%2Fdp%2FB09L4Y2XJ4%2Fref%3Dsr_1_444_sspa%3Fkeywords%3Dcomputer%26qid%3D1730745610%26sr%3D8-444-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1	0.0	1070
Homall 200x80 CM scrivania regolabile in altezza, scrivania da ufficio con quattro sezioni, scrivania per computer con funzione di memoria.	281.0	False	https://www.amazon.it/sspa/click?ie=UTF8&spc=MTo0MDc5MTgyNDMwNDk5MDkwOjE3MzA3NDU2MTg6c3BfYXRmX25leHQ6MzAwMjE2MTEwNDk0NDMyOjowOjo&url=%2FHomall-scrivania-regolabile-computer-funzione%2Fdp%2FB0CPPSLV43%2Fref%3Dsr_1_433_sspa%3Fkeywords%3Dcomputer%26qid%3D1730745618%26sr%3D8-433-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1	0.0	784
Acer Aspire 3 A315-24P-R8DK PC Portatile, Notebook, Processore AMD Ryzen 5 7520U, RAM 8 GB DDR5, 512 GB PCIe NVMe SSD, Display 15.6 FHD LED, Scheda Grafica AMD Radeon, Windows 11 Home, Silver	469.0	True	https://www.amazon.it/sspa/click?ie=UTF8&spc=MTo0MDc5MTgyNDMwNDk5MDkwOjE3MzA3NDU2MTg6c3BfYXRmX25leHQ6MzAwMDI1Nzg1ODY5NTMyOjowOjo&url=%2FAcer-A315-24P-R8DK-Portatile-Notebook-Processore%2Fdp%2FB0BS6VX78Q%2Fref%3Dsr_1_434_sspa%3Fkeywords%3Dcomputer%26qid%3D1730745618%26sr%3D8-434-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1	0.0	592
GEEKOM AI Mini PC AE8 - AMD Ryzen 9 8945HS Processore(8 Cores/16 Threads, fino a 5,20GHz), DDR5 32GB+1TB SSD, AMD Radeon™ 780M (12 core), Mini PC Windows 11/Wi-FI 6E/Bluetooth 5.2/HDMI/USB4.0	879.0	True	https://www.amazon.it/sspa/click?ie=UTF8&spc=MTo0MDc5MTgyNDMwNDk5MDkwOjE3MzA3NDU2MTg6c3BfYXRmX25leHQ6MzAwMzc5NTI2MTc2NzMyOjowOjo&url=%2FGEEKOM-AE8-Computer-processeur-Bluetooth%2Fdp%2FB0D22M9K64%2Fref%3Dsr_1_435_sspa%3Fkeywords%3Dcomputer%26qid%3D1730745618%26sr%3D8-435-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1	0.0	7
HP Computer Portatile 250 G8 CPU Intel Core i5 di Decima Generazione, 512gb SSD M.2, 16gb RAM DDR4, Windows 10 PRO Licenziato 2E9J9EA	549.0	True	https://www.amazon.it/sspa/click?ie=UTF8&spc=MTo0MDc5MTgyNDMwNDk5MDkwOjE3MzA3NDU2MTg6c3BfYXRmX25leHQ6MzAwMDQ3NDU2NjA1MDMyOjowOjo&url=%2FPortatile-HP-Generazione-Licenziato-2E9J9EA%2Fdp%2FB08V21BTD3%2Fref%3Dsr_1_436_sspa%3Fkeywords%3Dcomputer%26qid%3D1730745618%26sr%3D8-436-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1	0.0	43
HUAWEI MateBook D16 Laptop, Display FullView da 16 Pollici, Processore Intel Core i5, 8GB di RAM, SSD da 512GB, Windows 11 Home, Case leggero da 1.68 kg, Grigio Spaziale, Versione Tedesca	524.0	True	https://www.amazon.it/sspa/click?ie=UTF8&spc=MTo0MDc5MTgyNDMwNDk5MDkwOjE3MzA3NDU2MTg6c3BfbXRmOjMwMDEzNzQzNjA5NTkzMjo6MDo6&url=%2FHUAWEI-kg%25EF%25BC%258CProcessore-Intel%25C2%25AECoreTM-pollici%25EF%25BC%258CSuperCharge-capacit%25C3%25A0%25EF%25BC%258CSuperHub%2Fdp%2FB0CMW2FJ6D%2Fref%3Dsr_1_438_sspa%3Fkeywords%3Dcomputer%26qid%3D1730745618%26sr%3D8-438-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1	0.0	15
PC fisso Computer desktop - Intel Core I7 4770 - Ram 32 GB - SSD 1 TB - Intel HD 4600 - masterizzatore - Wi-Fi interno - Windows 11 Pro - HDMI -VGA - DVI - 6 x USB 2.0-3 x USB 3.0	516.0	True	https://www.amazon.it/sspa/click?ie=UTF8&spc=MTo0MDc5MTgyNDMwNDk5MDkwOjE3MzA3NDU2MTg6c3BfbXRmOjMwMDIxNjIxNzE5NDQzMjo6MDo6&url=%2FPC-fisso-Computer-desktop-masterizzatore%2Fdp%2FB0BBWFCGFH%2Fref%3Dsr_1_439_sspa%3Fkeywords%3Dcomputer%26qid%3D1730745618%26sr%3D8-439-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1	0.0	268
EUREKA ERGONOMIC Scirvania Gaming LED 156 x 64 cm Ampia Scrivania Computer Scrivania PC Desktop in in Fibra di Carbonio con Tappetino per Mouse	279.0	True	https://www.amazon.it/sspa/click?ie=UTF8&spc=MTo0MDc5MTgyNDMwNDk5MDkwOjE3MzA3NDU2MTg6c3BfbXRmOjIwMTQ1OTc4OTM1NTk4OjowOjo&url=%2FEUREKA-ERGONOMIC-Scrivania-controller-tappetino%2Fdp%2FB09P86TWJ7%2Fref%3Dsr_1_440_sspa%3Fkeywords%3Dcomputer%26qid%3D1730745618%26sr%3D8-440-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1	0.0	6121
Greed® Ultra V2 PC fisso Intel Core i9 10900F - Desktop veloce + computer per ufficio e casa con 5,2 GHz - 32 GB RAM - Disco SSD da 1 TB + HDD da 1 TB - DVD+RW - USB3.1 - Wi-Fi, W11 Pro	739.0	False	https://www.amazon.it/sspa/click?ie=UTF8&spc=MTo0MDc5MTgyNDMwNDk5MDkwOjE3MzA3NDU2MTg6c3BfbXRmOjMwMDAzMTc2NDY0NDUzMjo6MDo6&url=%2FGreed%25C2%25AE-Ultra-fisso-Intel-10700%2Fdp%2FB0C4YQP8VG%2Fref%3Dsr_1_441_sspa%3Fkeywords%3Dcomputer%26qid%3D1730745618%26sr%3D8-441-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1%26smid%3DA2Z6SWSHGTF96H	0.0	524
PC Gaming Computer Fisso Desktop Completo GT730 - Tastiera - Mouse - Cuffie - Windows 11 PRO - WiFi USB - HDMI (Ram: 32 GB - Ssd: 1 TB, Monitor 24)	609.0	False	https://www.amazon.it/sspa/click?ie=UTF8&spc=MTo0MDc5MTgyNDMwNDk5MDkwOjE3MzA3NDU2MTg6c3BfbXRmOjMwMDIzNjM2OTEzNTEzMjo6MDo6&url=%2FGaming-Computer-Fisso-Desktop-Completo%2Fdp%2FB0CQMXJZWB%2Fref%3Dsr_1_442_sspa%3Fkeywords%3Dcomputer%26qid%3D1730745618%26sr%3D8-442-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1	0.0	55
BOSGAME P1 Mini PC, AMD Ryzen 7 5700U (fino a 4,3GHz, 8C/16T) DDR4 32GB RAM 1TB NVMe M.2 SSD Mini Computer Desktop, WiFi6E/BT5.2/Triple Display 4K@60Hz Output & 2.5 Gigabit Ethernet	499.0	True	https://www.amazon.it/sspa/click?ie=UTF8&spc=MTo0MDc5MTgyNDMwNDk5MDkwOjE3MzA3NDU2MTg6c3BfbXRmOjMwMDE0MjQ2MTEwOTQzMjo6MDo6&url=%2FBOSGAME-P1-Computer-Desktop-Ethernet%2Fdp%2FB0CMC8M74Y%2Fref%3Dsr_1_443_sspa%3Fkeywords%3Dcomputer%26qid%3D1730745618%26sr%3D8-443-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1	0.0	50
Acer Aspire 3 A315-24P-R8DK PC Portatile, Notebook, Processore AMD Ryzen 5 7520U, RAM 8 GB DDR5, 512 GB PCIe NVMe SSD, Display 15.6 FHD LED, Scheda Grafica AMD Radeon, Windows 11 Home, Silver	469.0	True	https://www.amazon.it/sspa/click?ie=UTF8&spc=MTo1NzE3MzY2MTQyMzAzMTY1OjE3MzA3NDU2MTg6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDAyNTc4NTg2OTUzMjo6MDo6&url=%2FAcer-A315-24P-R8DK-Portatile-Notebook-Processore%2Fdp%2FB0BS6VX78Q%2Fref%3Dsxin_15_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.d08130f4-1c3e-4047-a277-0c03d5740fa8%253Aamzn1.sym.d08130f4-1c3e-4047-a277-0c03d5740fa8%26cv_ct_cx%3Dcomputer%26dib%3DeyJ2IjoiMSJ9.RvFbGIBvXD5stX7wNyihnXSgosk7VoCymu1j_6PyfEs5V2C60pssNWlWkiGHZPcneGtfhNTMUodUdYPPylPOzA.GGx0Uvwd4kZAGvLawFV9boLoqL7rcDP5MzApJepWMiU%26dib_tag%3Dse%26keywords%3Dcomputer%26pd_rd_i%3DB0BS6VX78Q%26pd_rd_r%3Da0718c31-e755-42ed-b388-6f95c37feba0%26pd_rd_w%3DPBIi4%26pd_rd_wg%3DZEgrd%26pf_rd_p%3Dd08130f4-1c3e-4047-a277-0c03d5740fa8%26pf_rd_r%3DSZ6AXD3R3KCQ801VQMTV%26qid%3D1730745618%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-433-b1149505-6a8e-43e6-ad16-2b4f2671e365-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1	0.0	592
